Year,Facts
1957,"October 4 - The Soviet Union launched the first satellite, Sputnik, into space. "
1958,"January 31 - Explorer 1 was the first satellite launched by the United States when it was sent into orbit on January 31, 1958. It was designed and built by the Jet Propulsion Laboratory (JPL) of the California Institute of Technology. The satellite was sent aloft from Cape Canaveral in Florida  by the Jupiter C rocket  that was designed, built, and launched by the Army Ballistic Missile Agency (ABMA) under the direction of Dr. Wernher Von Braun. "
1960,"August 19 - The Soviet craft Sputnik 5 was launched, carrying the dogs Strelka and Belka. They became the first living beings to survive a trip into space. "
1961,April 12 - Russian cosmonaut Yuri Gagarin became the first human in space. 
1962,February 20 - Astronaut John Glenn became the first American in orbit.   
1965,"March 18 - While tethered to his spacecraft, cosmonaut Alexi Leonov became the first man to walk in space. "
1966,February 3 - The Russian spacecraft Luna 9 became the first spacecraft to land on the moon. 
1967,"January 27 - Astronauts Gus Grissom, Ed White, and Roger Chaffee were killed in an accidental fire in a command module on the launch pad. "
1968,September 15 - The Soviet spacecraft Zond 5 was launched and later became the first spacecraft to orbit the moon and return to Earth. 
1969,"July 20 - Neil Armstrong and ""Buzz"" Aldrin became the first men on the moon. "
1970,April 11 - Apollo 13 was launched. 
1971,April 19 - The Soviet space station Salyut 1 was launched. 
1972,"December 11 - Eugene Cernan and Harrison ""Jack"" Schmitt became the last men to walk on the moon. "
1973,"May 14 - The U.S. launched its first space station, Skylab."
1975,July 17 - The American Apollo 18 and Soviet Soyuz 19 dock in the Apollo-Soyuz Test Project. 
1976,September - The American probe Viking 2 discovered water frost on the Martian surface. 
1977,"August and September - Voyagers 1 and 2 were launched. (Voyager 2 was launched before Voyager 1, but Voyager 1 was on a faster trajectory.) "
1979,March and August - Voyagers 1 and 2 began transmitting images of Jupiter and her moons. 
1980,November 13 - Voyager 1 reached Saturn and began transmitting images. 
1981,April 12 - Columbia became the first Space Shuttle to be launched. 
1983,"April 4 - The second Space Shuttle, Challenger, was launched. "
1984,February 3 - Astronaut Bruce McCandless became the first man to take an untethered space walk. 
1985,"October 3 - Atlantis, the fourth Space Shuttle, was launched."
1986,January 24 - Voyager 2 began transmitting images from Uranus. 
1989,August - Voyager 2 began transmitting images from Neptune.
1990,August 10 - The Magellan spacecraft began mapping the surface of Venus using radar equipment. 
1992,May 7 - The Space Shuttle Endeavor was launched on her maiden voyage. 
1993,December - The Space Shuttle Endeavor made the first servicing mission of the Hubble Space Telescope. 
1994,February 3 - Sergei Krikalev became the first Russian cosmonaut to fly on a Space Shuttle. 
1995,February 2 - Eileen Collins became the first female Shuttle pilot. 
1997,July 4 - The Mars Pathfinder arrived on Mars and later began transmitting images. 
1998,October 29 - John Glenn became the oldest man in space.
1999,July 23 - Eileen Collins became the first female Shuttle Commander. 
2000,February 14 - The U.S. Near Earth Asteroid Rendezvous (NEAR) spacecraft began transmitting images of the asteroid Eros. 
2001,February 12 - NEAR landed on the surface of Eros. 
2003,February 1 - The Space Shuttle Columbia broke up on re-entry into the Earth’s atmosphere.
2004,January 14 - President Bush proposed a new space program that would send humans back to the moon by 2015 and establish a base to Mars and beyond.
2005,"July 3 - A NASA spacecraft collided with a comet half the size of Manhattan, creating a brilliant cosmic smashup designed to help scientists study the building blocks of life on earth."
2006,January 15 - NASA spacecraft Stardust returned safely to Earth in a desert near Salt Lake City with the first dust ever collected from a comet.
2007,August 4 - NASA launched its Phoenix Mars Lander.
2008,January 14 - The NASA space probe Messenger skimmed 124 miles above Mercury.
2009,"March 6 - The NASA spacecraft Kepler was launched.  Its mission is to search for planets outside our solar system, in a distant area of the Milky Way."
2010,"October 10 - Virgin Galactic, a private company, announced the successful first manned glide flight of the VSS Enterprise.  This vehicle is a suborbital plane designed to take private citizens on suborbital space flights. "
2011,July 8 - The space shuttle Atlantis became the last American space shuttle to be launched into space. Mission STS-135 and its 4-member crew brought much-needed supplies and equipment to the International Space Station (ISS).  
2012,"May 22 - SpaceX, a commercial space company, launched its Dragon C2+ mission to resupply the International Space Station (ISS). "
2013,September 7 - NASA launched the unmanned LADEE spacecraft from NASA's Wallops Flight Facility in Virginia. It was the U.S. space agency's third lunar probe in five years. 
